,country,SubRegion,Territory,SI mean (21/01 - 29/11),SI Min value (21/01 – 29/11),SI Max value (21/01 - 29/11),Stringency_Mean_Min,Stringency_Max_Mean,Strigency_Index_First_case_day,Strigency_Index_Peak,pop_thousands,max_monthly_cases,max_weekly_cases,weeks_above_50,day_first_case,day_10th_case,day_50th_case,cases,deaths,cases_per_million,deaths_per_million,cases_per_million_population_in_neighbors,start_delay,day_10_delay,day_50_delay,Tourism_Arrivals,Tourism_Arrivals_standardised_by_population,Tourism_receipts,Tourism_receipts_standardised_by_population,GDP_per_capita,Capture_Fisheries,Capture_fisheries_standardised_by_population,Land_border_km,sea_border_km,total_border_km,agriculture_fishing_forestry,agriculture_fishing_forestry_standardised_by_population,Prepardness_Index_Total,Prepardness_Index_Total_Average,latitude,Urban_population_percentage,population_age_between_0_14_years_percentage,population age between 15-24 years (percentage),population age between 25-54 years (percentage),population age between 55-64 years (percentage),population age between 65 and over (percentage),male_pop_frac,fem_pop_frac,Pop_Density_per_sq_km
32,Mozambique,Southern Africa,Sea border,51.64461538,0,75,51.64461538,23.35538462,22.22,62.04,30366.04,4752,1502,9,2020-03-22,2020-04-01,2020-04-24,15613,130,514.159897,4.281098227,4905.052861,26,28,40,2033,0.06694978996,324,0.01066981404,503.6,367144,12.09061175,4783,2470,7253,3979.86,0.13,560,62.22222222,-18.665695,37,45.57,19.91,28.28,3.31,2.93,48.56,51.44,38
33,Namibia,Southern Africa,Sea border,47.32310897,0,73.15,47.32310897,25.82689103,2.78,63.89,2494.53,5709,1686,5,2020-03-14,2020-03-28,2020-06-21,14345,151,5750.582274,60.53244499,7511.694663,18,24,98,1651,0.6618481237,451,0.1807955807,4957.5,510568,204.675029,4220,1572,5792,817.82,0.33,546,60.67,-22.95764,51,35.68,20.27,35.47,4.68,3.9,48.461,51.539,3
34,Niger,Western Africa,Inland,25.17176282,0,61.11,25.17176282,35.93823718,41.67,61.11,23310.72,653,295,3,2020-03-18,2020-03-26,2020-03-31,1516,70,65.03445625,3.002910249,807.0882691,22,22,16,192,0.008236553826,114,0.004890453834,553.9,31042,1.331661999,5834,0,5834,4881.33,0.21,404,44.88888889,17.607789,17,50.58,19.99,23.57,3.17,2.68,50.254,49.746,18
35,Nigeria,Western Africa,Sea border,58.06397436,0,85.65,58.06397436,27.58602564,11.11,71.76,200963.6,16473,4323,13,2020-02-28,2020-03-20,2020-03-25,67412,1173,335.4438316,5.836877922,397.9586439,3,16,10,5265,0.02619877431,1471,0.007319733524,2229.9,878155,4.369721681,4477,853,5330,98166.59,0.49,480,53.33,9.081999,51,41.7,20.27,30.6,4.13,3.3,50.672,49.328,215
36,Rwanda,Eastern Africa,Inland,64.36400641,11.11,90.74,53.25400641,26.37599359,30.09,75.93,12626.95,2234,931,2,2020-03-14,2020-03-18,2020-03-26,5916,48,468.5216937,3.801393052,169.7140823,18,14,11,1634,0.1294057552,635.9,0.05036053837,820,23977,1.898875025,930,0,930,2438.18,0.19,660,73.33333333,-1.940278,17,39.95,20.1,33.06,4.24,2.65,49.15,50.85,499
37,Sao Tome and Principe,Central Africa,Island,NA,NA,NA,NA,NA,NA,NA,215.06,421,184,4,2020-04-06,2020-04-28,2020-05-03,989,17,4598.716637,79.04770762,0,41,55,49,33.4,0.1553054961,71.9,0.3343253046,1946.6,9730,45.24318795,0,209,209,52.17,0.24,314,34.89,0.18636,74,39.77,21.59,31.61,4.17,2.87,50.04,49.96,220
38,Senegal,Western Africa,Sea border,42.67310897,0,77.78,42.67310897,35.10689103,0,37.96,16296.36,3045,987,18,2020-03-01,2020-03-11,2020-03-19,16075,333,986.4165986,20.43401103,783.7013789,5,7,4,1376,0.08443603357,557,0.03417941184,1446.8,484750,29.74590645,2684,531,3215,3487.57,0.21,476,52.89,14.497401,48,40.38,20.35,31.95,4.21,3.1,48.762,51.238,82
39,Seychelles,Eastern Africa,Island,34.24233974,0,93.52,34.24233974,59.27766026,19.44,23.15,97.63,95,70,1,2020-03-14,2020-03-30,2020-06-26,172,0,1761.753559,0,0,18,26,103,428,4.383898392,618,6.33002151,17448.3,145614,1491.488272,0,491,491,39.26,0.4,487,54.11,-4.679574,57,18.85,12.39,49.03,11.46,8.27,51.326,48.674,210
40,Sierra Leone,Western Africa,Sea border,38.24182692,0,88.89,38.24182692,50.64817308,57.41,70.37,7813.22,664,216,7,2020-03-31,2020-04-11,2020-04-21,2411,74,308.5795613,9.471127141,826.5466197,35,38,37,71,0.009087162527,39,0.00499153998,527.5,202100,25.86641615,1093,402,1495,2239.81,0.29,423,47,8.460555,42,41.38,18.83,32.21,3.89,3.7,49.894,50.106,106
41,South Africa,Southern Africa,Sea border,57.51480769,0,87.96,57.51480769,30.44519231,13.89,80.56,58558.27,283617,88086,6,2020-03-05,2020-03-11,2020-03-15,787702,21477,13451.59275,366.7628842,871.2237794,9,7,0,14797,0.2526884759,9064,0.1547859935,6001.4,611485,10.44233376,5944,2798,8742,6622.88,0.11,569,63.22,-30.559482,67,27.94,16.8,42.37,6.8,6.09,49.283,50.717,48
42,South Sudan,Eastern Africa,Inland,57.34378205,0,86.11,57.34378205,28.76621795,73.15,73.15,11062.11,1470,507,3,2020-04-05,2020-04-28,2020-05-04,3104,61,280.5974629,5.514318697,723.6841783,40,55,50,NA,NA,12,0.001084784006,1119.7,32000,2.892757349,6018,0,6018,1242.37,0.11,363,40.33,6.876991,20,41.58,21.28,30.67,3.93,2.53,50.049,49.951,17
43,Togo,Western Africa,Sea border,48.59634615,0,73.15,48.59634615,24.55365385,0,56.48,8082.37,503,163,18,2020-03-05,2020-03-21,2020-04-06,2946,64,364.4970473,7.918469459,917.7908868,9,17,22,876,0.1083840507,269,0.03328231694,679.3,24620,3.04613622,1880,56,1936,1237.83,0.15,384,42.66666667,8.619543,42,39.73,19.03,33.26,4.42,3.57,49.746,50.254,145
45,United Republic of Tanzania,Eastern Africa,Sea border,NA,NA,NA,NA,NA,8.33,50,58005.46,338,180,3,2020-03-16,2020-03-22,2020-04-14,509,21,8.775036005,0.3620348843,589.9052851,20,18,30,1527,0.02632510802,2624.5,0.04524574066,1122.1,377046,6.50018119,4161,1424,5585,15325.46,0.26,462,51.33,-6.369028,35,42.7,20.39,30.31,3.52,3.08,49.962,50.038,64
44,Uganda,Eastern Africa,Inland,66.19801282,2.78,93.52,63.41801282,27.32198718,47.22,53.7,44269.59,5189,1980,9,2020-03-21,2020-03-25,2020-04-05,20145,201,455.05278,4.540362809,477.4742098,25,21,21,1402,0.03166959531,1206,0.02724217685,794.3,439354,9.924510256,2729,0,2729,8106.1,0.18,617,68.55555556,1.373333,24,48.21,20.25,26.24,2.91,2.38,49.26,50.74,213
46,Zambia,Southern Africa,Inland,40.90326923,0,70.83,40.90326923,29.92673077,16.67,50.93,17861.03,5880,1866,7,2020-03-18,2020-03-25,2020-04-17,17608,357,985.8334038,19.98764909,249.3199287,22,21,33,1266,0.07088057072,820,0.04591000631,1305.1,111127,6.221757648,6043,0,6043,666.83,0.04,598,66.44,-13.133897,44,45.74,20.03,28.96,3.01,2.27,49.511,50.489,23
47,Zimbabwe,Southern Africa,Inland,64.32798077,0,87.96,64.32798077,23.63201923,27.78,80.56,14645.47,3664,1409,4,2020-03-20,2020-04-06,2020-05-21,9950,276,679.3909653,18.84541773,7616.851335,24,33,67,2294,0.1566354648,158,0.01078831885,1464,115297,7.872536696,2339,0,2339,2019,0.14,410,45.56,-19.015438,32,38.32,20.16,32.94,4.07,4.52,47.683,52.317,37
